Returns,Volatility,Sharpe
0.32609648703290733,0.4079260921242994,0.7748866599506201
0.33212239532529864,0.38429399391946595,0.8382186566069616
0.27856664124047187,0.3915184872018442,0.6859615829635511
0.24954279714575606,0.33220941468558124,0.7210596285251901
0.25668207879338456,0.3502873114996272,0.7042278458140699
0.40442079791256846,0.4755315729196557,0.8294313571881557
0.23182102084047732,0.31779719080356283,0.6979955369636656
0.2761756816301599,0.3436700254127374,0.7745094478649712
0.2695616141915302,0.3333059052360007,0.7787489213782304
0.15333500623639038,0.33640400347786464,0.4260799656203313
0.20391369748742377,0.3103230402620878,0.6248768938447211
0.2706766031325274,0.34260672552928534,0.7608624808220388
0.2401682676849202,0.3225861863030132,0.7135093734879193
0.21147947955708823,0.3030317376229171,0.6648791348970938
0.25487263738198795,0.3427678789128835,0.7143978547774711
0.3066905283647522,0.3783820555101922,0.7841030620881556
0.2852188322829012,0.35362950534839294,0.7782688608286737
0.24216137479579453,0.3339958976768832,0.6951024740441387
0.2921861623077563,0.3634271637130972,0.7764586428397092
0.26268348152683846,0.3405000364212413,0.7420953142402523
0.26724571667795766,0.36041380855928723,0.7137510011235914
0.31459025764623894,0.36660657373207667,0.8308368683777054
0.273665425721705,0.3575702290378877,0.7373808116831989
0.3029845990156368,0.3781381712639829,0.7748083142103647
0.2636641283815575,0.34335969387469845,0.7387708368418066
0.22401864576873967,0.31786373810983576,0.6733031173715918
0.19155217801080948,0.30372052724192694,0.5977606441667839
0.25871781497709256,0.3424836167853568,0.7262181394591214
0.2619820970697231,0.346184310924718,0.7278842198152637
0.24125303199070075,0.31293163212903025,0.7389889939133696
0.25981203678099296,0.33356352231481634,0.7489189316846854
0.1944797639871641,0.30882459103967264,0.5973609917723981
0.23069212713018045,0.30934046863703474,0.7134279200602427
0.1963597853802999,0.30210977404904643,0.6168611590502368
0.2741912757202296,0.3524971880149048,0.7494847752063731
0.1987120313872396,0.31073009470291324,0.607318166486789
0.2482902676795819,0.3203199476703308,0.7439132948561393
0.28892984342743677,0.3593429903510118,0.7762217461233174
0.28029200462354253,0.34620756625624477,0.7807224075036144
0.2455982985546874,0.3279444989920057,0.7184090578705837
0.27570628565518357,0.34427698949969404,0.7717805539118661
0.3194027619327859,0.40129776122437105,0.7710054523822638
0.2438669906896434,0.31727107525501863,0.7371204277026009
0.22098258697252887,0.31946303239045254,0.6604287995196351
0.2315041484869065,0.3215910771641456,0.6887757907967297
0.27990077027160626,0.36418958992024125,0.7410996298129099
0.2105000470112559,0.31113875994938683,0.6444071675411684
0.2270069989794372,0.31996727140666,0.6782162376339854
0.31639282224554627,0.3675676183808452,0.8335685923456012
0.318795193485446,0.3928722299983222,0.7859939438497975
0.31118639058842895,0.39262867330862555,0.7671023821321413
