Date,AAPL,AMZN,GOOG,MSFT,TSLA
2021-09-13,0.012397791220427662,0.00928286265100922,0.008152789399035926,0.008406157977655848,0.019426204699949347
2021-09-14,0.012533267901294585,0.009303006738382266,0.008133313993310345,0.008521723649546785,0.018606112720917906
2021-09-15,0.012376143880961242,0.009217874983825628,0.008365040995769877,0.00887700631460783,0.018765774582931643
2021-09-16,0.012367488457338453,0.009188733203420587,0.008458599148810099,0.008843251472823154,0.018765891275549326
2021-09-17,0.012843358403559092,0.00927138717877015,0.00933634778717427,0.009408813846065959,0.018758212089025943
2021-09-20,0.01340561496290085,0.010843450614594978,0.009930877135662692,0.010091079928189434,0.01976763290391022
2021-09-21,0.013427046093228754,0.010863374341310884,0.009884340072974266,0.010056193749751651,0.019546606981073564
2021-09-22,0.01378167838002293,0.010968319576269562,0.01001463832319284,0.010184989232842185,0.019711124306883335
2021-09-23,0.013831995529398405,0.010971848639992177,0.010041044568176285,0.010190339647197087,0.019688744956966688
2021-09-24,0.01328935735578643,0.01096784581793661,0.010050044170792536,0.010071511488596164,0.019949386739843186
2021-09-27,0.01341206817856335,0.011017540438325368,0.010182259292142514,0.01046388242146848,0.020172012560050932
2021-09-28,0.013778312597643932,0.012132588174422754,0.012405736242953816,0.012396768772014496,0.018531636659237013
2021-09-29,0.01384235114143317,0.01170734565254147,0.0124242710001448,0.012384529207604935,0.017352891706891298
2021-09-30,0.013160927530019247,0.011488146381567635,0.012498179863950005,0.01240389236036199,0.016604559227227526
2021-10-01,0.013254932919194991,0.011451665988964639,0.013268139462249601,0.012703800985872083,0.01584721857973093
2021-10-04,0.013780828593189765,0.012664824433893305,0.013572917355451509,0.012217956254344357,0.01582873202248777
2021-10-05,0.013916804672672747,0.012211591352078489,0.013514026077340643,0.01286213088787544,0.014580116384706283
2021-10-06,0.013996801686070605,0.012229918396636475,0.013499663937002342,0.013180605805285657,0.01458042980991822
2021-10-07,0.014071792067478698,0.012444514897152358,0.013727797964938494,0.013240329747548674,0.014704984968315448
2021-10-08,0.014050917957005004,0.012429877783623958,0.013755144758571258,0.01313311144439043,0.014556939749585683
2021-10-11,0.013965416417718654,0.012479022165330105,0.013427095636413078,0.013127079358891312,0.014422092702781263
2021-10-12,0.012713230590643023,0.011753614673593262,0.013587150195436777,0.01289512255827993,0.014017463327535513
2021-10-13,0.012669792294867999,0.011625860211252115,0.01372377316362678,0.013074514463550001,0.014018048239272208
2021-10-14,0.013268482963257382,0.011663400997562003,0.014563604350298694,0.013684701667431933,0.01401528337665858
2021-10-15,0.013269390743975212,0.013219817656345336,0.014443983764960712,0.013703538359114096,0.014750284225092556
2021-10-18,0.013459851936600271,0.01336008472841278,0.01452971914656536,0.013817882101968052,0.015530997242839337
2021-10-19,0.013442406685149223,0.013245552245684907,0.014542218027325601,0.013804663596608575,0.015199535960068754
2021-10-20,0.013377078653854443,0.013282783995317928,0.014627616179207227,0.013819277179671857,0.015195974479077426
2021-10-21,0.01334570330883182,0.013180935169202868,0.014638270257959923,0.013784507320720861,0.015981690833506586
2021-10-22,0.011876451773059179,0.014188840777921536,0.015131587842502169,0.0137839695246036,0.015029314612569188
2021-10-25,0.011853040516712862,0.014196024878150507,0.014977671729412136,0.013800505154674575,0.025409683695576828
2021-10-26,0.011747237423938465,0.014569016370439546,0.015041058743189025,0.013750421505004018,0.025552590911602665
2021-10-27,0.011709821686014558,0.014526469987158014,0.017277703922672666,0.015349120849608211,0.025585745558963736
2021-10-28,0.012542708457121191,0.014822717128018364,0.017246316739312085,0.015351692247210265,0.025972168652820322
2021-10-29,0.012532313094332724,0.01528064006522947,0.016972515435901066,0.015311434858051065,0.026223869017097452
2021-11-01,0.011868071283210045,0.014470716804289513,0.01764968640166585,0.014865720106373641,0.027203730556189246
